"Sequence" "DepthBaseMVP" "AdaptiveLuminanceCompensation" "VSP_Enable" "Texture_QPISlice" "Texture_QPPSlice" "FrameToBeEncoded" "Depth_QPISlice" "Depth_QPPSlice" "T1_Rate" "T5_Rate" "D1_Rate" "D5_Rate" "Ratio" "T1_PSNR" "T5_PSNR" "AVE_PSNR" "SUM_Rate"
"40" "kendo" "Enable" "Enable" "Enable" 32 32 20 33 33 176.38 193.5 76.66 105.14 2.03454345434543 38.87167 38.29184 38.581755 551.68
"41" "kendo" "Enable" "Enable" "Enable" 32 32 20 34 34 172.08 191.61 65.28 91.87 2.31428571428571 38.76825 38.26619 38.51722 520.84
"42" "kendo" "Enable" "Enable" "Enable" 32 32 20 35 35 176.53 194.13 56.69 78.55 2.74075717243419 38.88783 38.33 38.608915 505.9
"43" "kendo" "Enable" "Enable" "Enable" 32 32 20 36 36 176.02 194.6 49.06 69.01 3.13898534767511 38.85608 38.27567 38.565875 488.69
"44" "kendo" "Enable" "Enable" "Enable" 32 32 20 37 37 171.89 193.69 42.63 60.21 3.55484247374562 38.74837 38.24757 38.49797 468.42
"45" "kendo" "Enable" "Enable" "Enable" 32 32 20 38 38 177.09 197.17 37.14 50.26 4.28215102974828 38.86821 38.29548 38.581845 461.66
"46" "kendo" "Enable" "Enable" "Enable" 34 34 20 28 28 138.55 147.91 144.47 200.07 0.831427410460324 37.74477 37.23898 37.491875 631
"47" "kendo" "Enable" "Enable" "Enable" 34 34 20 29 29 134.41 145.51 126.19 176.82 0.923797894458929 37.66689 37.17313 37.42001 582.93
"48" "kendo" "Enable" "Enable" "Enable" 34 34 20 30 30 136.61 148.78 110.22 153.85 1.08073616844019 37.70391 37.23892 37.471415 549.46
"49" "kendo" "Enable" "Enable" "Enable" 34 34 20 31 31 135.89 149.71 98.06 137.96 1.21006694347937 37.72282 37.2429 37.48286 521.62
"50" "kendo" "Enable" "Enable" "Enable" 34 34 20 32 32 133.46 146.06 85.57 116.22 1.3852024381783 37.68336 37.16309 37.423225 481.31
"51" "kendo" "Enable" "Enable" "Enable" 34 34 20 33 33 135.8 149.8 76.36 104.19 1.58183328717807 37.73511 37.25397 37.49454 466.15
"52" "kendo" "Enable" "Enable" "Enable" 34 34 20 34 34 127.98 139.82 60.26 92 1.75883357414948 37.67744 37.19978 37.43861 420.06
"53" "kendo" "Enable" "Enable" "Enable" 34 34 20 35 35 135.8 148.11 56.34 78.81 2.10070292267851 37.68479 37.25438 37.469585 419.06
"54" "kendo" "Enable" "Enable" "Enable" 34 34 20 36 36 135.58 147.37 49.43 68.39 2.40154472924801 37.65014 37.16261 37.406375 400.77
"55" "kendo" "Enable" "Enable" "Enable" 34 34 20 37 37 137.16 150.92 42.93 59.31 2.81768388106416 37.73071 37.25452 37.492615 390.32
"56" "kendo" "Enable" "Enable" "Enable" 34 34 20 38 38 138.15 150.35 37.19 50.54 3.28849880314602 37.69668 37.23384 37.46526 376.23
"57" "kendo" "Enable" "Enable" "Enable" 36 36 20 28 28 106.03 113.32 145.36 202 0.631477429755873 36.54252 36.01028 36.2764 566.71
"58" "kendo" "Enable" "Enable" "Enable" 36 36 20 29 29 106.82 115.88 126.11 175.4 0.738615634638984 36.57935 36.13487 36.35711 524.21
"59" "kendo" "Enable" "Enable" "Enable" 36 36 20 30 30 107.67 115.84 110 154.36 0.845475866243002 36.60632 36.16366 36.38499 487.87
"60" "kendo" "Enable" "Enable" "Enable" 36 36 20 31 31 106.57 114.31 97.91 137.76 0.937242754699368 36.5509 36.05389 36.302395 456.55
"61" "kendo" "Enable" "Enable" "Enable" 36 36 20 32 32 108.29 115.45 85.25 117.68 1.10254767653871 36.56396 36.19032 36.37714 426.67
"62" "kendo" "Enable" "Enable" "Enable" 36 36 20 33 33 109.12 115.57 76.4 103.97 1.24571713699617 36.6081 36.18199 36.395045 405.06
"63" "kendo" "Enable" "Enable" "Enable" 36 36 20 34 34 106 114.92 64.28 91.73 1.41606307287994 36.52846 36.09053 36.309495 376.93
"64" "kendo" "Enable" "Enable" "Enable" 36 36 20 35 35 108.32 116.24 56.43 79.22 1.65543678584593 36.6242 36.16308 36.39364 360.21
"65" "kendo" "Enable" "Enable" "Enable" 36 36 20 36 36 99.62 111.96 44.74 67 1.89350277429748 36.60199 36.03564 36.318815 323.32
"66" "kendo" "Enable" "Enable" "Enable" 36 36 20 37 37 109 118.88 43 60.36 2.2047213622291 36.60334 36.21109 36.407215 331.24
"67" "kendo" "Enable" "Enable" "Enable" 36 36 20 38 38 107.13 113.98 37.58 50.58 2.50805353901996 36.53762 36.0572 36.29741 309.27
"68" "kendo" "Enable" "Enable" "Enable" 38 38 20 28 28 85.99 91.35 144.03 200.31 0.515014230121392 35.40488 35.07354 35.23921 521.68
"69" "kendo" "Enable" "Enable" "Enable" 38 38 20 29 29 87.18 92.26 127.96 176.2 0.589952656496581 35.39966 35.08288 35.24127 483.6
"70" "kendo" "Enable" "Enable" "Enable" 38 38 20 30 30 84.19 88.97 110.41 154.94 0.652572074618428 35.31649 34.99112 35.153805 438.51
"71" "kendo" "Enable" "Enable" "Enable" 38 38 20 31 31 86.28 91.59 97.75 136.54 0.75918733193905 35.42061 35.0993 35.259955 412.16
"72" "kendo" "Enable" "Enable" "Enable" 38 38 20 32 32 86.64 92.16 84.84 116.79 0.886772801666419 35.3759 35.04999 35.212945 380.43
"73" "kendo" "Enable" "Enable" "Enable" 38 38 20 33 33 85.8 90.38 77.09 104.98 0.967649805020047 35.29201 34.99752 35.144765 358.25
"74" "kendo" "Enable" "Enable" "Enable" 38 38 20 34 34 86.71 92.18 64.68 90.77 1.15078803473786 35.36958 35.08355 35.226565 334.34
"75" "kendo" "Enable" "Enable" "Enable" 38 38 20 35 35 87.76 92.49 56.01 78.49 1.34014869888476 35.41539 35.08856 35.251975 314.75
"76" "kendo" "Enable" "Enable" "Enable" 38 38 20 36 36 85.39 92.12 48.87 68.06 1.51808774480458 35.32573 34.95964 35.142685 294.44
"77" "kendo" "Enable" "Enable" "Enable" 38 38 20 37 37 86.86 92.86 43.63 60.02 1.73391220453449 35.43748 35.06915 35.253315 283.37
"78" "kendo" "Enable" "Enable" "Enable" 38 38 20 38 38 79.46 85.92 33.46 49.34 1.99734299516908 35.43466 35.06915 35.251905 248.18
"79" "kendo" "Enable" "Enable" "Enable" 40 40 20 28 28 70.03 71.76 144.15 200.46 0.411450625344592 34.26797 33.99046 34.129215 486.4
"80" "kendo" "Enable" "Enable" "Enable" 40 40 20 29 29 68.56 70.94 125.5 175.03 0.464179948757196 34.15708 33.79503 33.976055 440.03
"81" "kendo" "Enable" "Enable" "Enable" 40 40 20 30 30 69.61 72.49 109.63 154.76 0.537463595446121 34.24811 33.95476 34.101435 406.49
"82" "kendo" "Enable" "Enable" "Enable" 40 40 20 31 31 70.34 72.59 97.39 136.32 0.611569894313466 34.25848 33.99214 34.12531 376.64
"83" "kendo" "Enable" "Enable" "Enable" 40 40 20 32 32 68.28 71.51 85.13 116.21 0.69429820204629 34.12462 33.84542 33.98502 341.13
